word1,word2,pos,sv_score,relation,cf_score,include,one_minus_cf,wn_wup,sv_bucket,cf_bucket,wn_bucket
walk,trail,V,4.81,COHYPONYMS,0.652405192,1,0.347594808007629,0.2,2,2,1
feed,starve,V,1.49,ANTONYMS,1.144359157,1,-0.14435915720503,0.125,1,1,1
shine,polish,V,7.8,SYNONYMS,0.885529564,1,0.114470435863131,0.14285714285714285,4,1,1
calculate,add,V,5.98,HYPER/HYPONYMS,0.967814116,1,0.032185884135595,0.125,3,1,1
cheat,sneak,V,3.65,NONE,0.7783820929999999,1,0.221617907355785,0.1,2,1,1
pardon,forgive,V,8.96,HYPER/HYPONYMS,0.095772873,1,0.904227127461856,0.5,4,4,2
smell,sniff,V,7.97,HYPER/HYPONYMS,0.226839599,1,0.7731604012006229,0.5,4,4,2
plow,dig,V,6.64,NONE,0.779872789,1,0.220127210814458,0.125,3,1,1
believe,pretend,V,1.66,NONE,0.761903475,1,0.238096524879635,0.1111111111111111,1,1,1
tap,pat,V,6.97,NONE,0.553497184,1,0.446502816230664,0.1111111111111111,3,2,1
condemn,kill,V,3.65,NONE,0.832106323,1,0.167893677203357,0.1111111111111111,2,1,1
crunch,crack,V,3.65,NONE,0.821056503,1,0.17894349687235,0.14285714285714285,2,1,1
erode,destroy,V,6.34,NONE,0.451062302,1,0.548937698411044,0.16666666666666666,3,3,1
try,practice,V,4.65,NONE,0.827294325,1,0.17270567523108804,0.25,2,1,1
tear,fold,V,0.66,NONE,0.974082069,1,0.02591793123879,0.14285714285714285,1,1,1
replace,move,V,1.49,HYPER/HYPONYMS,0.848668412,1,0.15133158764602306,0.16666666666666666,1,1,1
respond,ignore,V,0.83,NONE,0.879379844,1,0.120620156379861,0.2,1,1,1
rationalize,argue,V,4.48,HYPER/HYPONYMS,0.940118822,1,0.059881178215628,0.3333333333333333,2,1,2
laugh,sing,V,1.99,NONE,0.895860027,1,0.10413997294019996,0.1111111111111111,1,1,1
attack,sneak,V,1.66,COHYPONYMS,0.784455008,1,0.215544992263148,0.16666666666666666,1,1,1
descend,go,V,3.32,HYPER/HYPONYMS,0.684748531,1,0.315251469172504,0.5,2,2,2
decompose,dissolve,V,6.14,NONE,0.688317665,1,0.311682334704759,0.16666666666666666,3,2,1
miss,catch,V,0.0,NONE,1.005035661,1,-0.005035660942097,0.2,1,1,1
yell,accuse,V,1.99,NONE,0.894105736,1,0.105894263656625,0.2,1,1,1
feel,touch,V,7.8,HYPER/HYPONYMS,0.777109725,1,0.222890274737177,0.3333333333333333,4,1,2
connect,separate,V,1.49,ANTONYMS,0.975249317,1,0.024750682513196,0.3333333333333333,1,1,2
decay,deteriorate,V,8.13,HYPER/HYPONYMS,0.447047216,1,0.552952784058198,0.2,4,3,1
protect,defend,V,7.8,HYPER/HYPONYMS,0.289807763,1,0.7101922371224159,0.1111111111111111,4,3,1
bake,broil,V,5.98,SYNONYMS,0.482415248,1,0.517584751892462,0.25,3,3,1
remove,detach,V,7.47,NONE,0.530463887,1,0.469536112608992,0.16666666666666666,3,2,1
describe,define,V,7.97,NONE,0.447974627,1,0.552025373176097,0.08333333333333333,4,3,1
drive,walk,V,1.49,COHYPONYMS,0.34852868299999995,1,0.651471316723134,0.125,1,3,1
build,grow,V,4.81,HYPER/HYPONYMS,0.534279948,1,0.465720052234312,0.2,2,2,1
decay,decompose,V,8.3,SYNONYMS,0.407195328,1,0.592804672338687,0.25,4,3,1
cover,protect,V,6.81,HYPER/HYPONYMS,0.7123977459999999,1,0.28760225428179403,0.2,3,2,1
dislike,ignore,V,3.15,NONE,0.793182898,1,0.206817101681953,0.16666666666666666,2,1,1
forget,recall,V,0.33,ANTONYMS,1.151848265,1,-0.151848264796644,0.3333333333333333,1,1,2
comprehend,learn,V,7.3,NONE,0.52615519,1,0.473844809739685,0.25,3,2,1
reflect,look,V,4.15,NONE,0.657888259,1,0.342111740739916,0.125,2,2,1
defeat,beat,V,8.47,HYPER/HYPONYMS,0.190279651,1,0.8097203487239929,0.5,4,4,2
know,inform,V,1.99,NONE,0.732774629,1,0.267225371129243,0.16666666666666666,1,2,1
remind,repeat,V,5.31,NONE,0.59341291,1,0.40658709039203705,0.125,3,2,1
go,let,V,2.82,NONE,0.525262121,1,0.4747378785520701,0.3333333333333333,2,2,2
dislike,disown,V,3.82,NONE,0.771977958,1,0.228022041753171,0.125,2,1,1
go,advance,V,6.64,HYPER/HYPONYMS,0.916301169,1,0.08369883085411901,0.5,3,1,2
produce,reproduce,V,5.98,HYPER/HYPONYMS,0.8018173140000001,1,0.198182685740428,0.2,3,1,1
recommend,assist,V,4.15,NONE,0.80811454,1,0.19188546008094687,0.125,2,1,1
shake,shiver,V,6.31,HYPER/HYPONYMS,0.14376014,1,0.8562398597560541,0.3333333333333333,3,4,2
